Year,City,State,Season,River_Name,Industry_Sector,Avg_AQI,Avg_Water_Contamination,Avg_Industrial_Emission,Avg_Vehicular_Emission,Avg_GDP,Avg_Population,Water_Quality_Status,AQI_Bucket
2010,Ahmedabad,Gujarat,Monsoon,Sabarmati,Chemical,130.88,1.65,30045.75,142244.0,4183396.0,3455.0,Acceptable,Moderate
2010,Ahmedabad,Gujarat,Post-Monsoon,Sabarmati,Chemical,153.83,1.02,28065.0,142244.0,4183396.0,3455.0,Acceptable,Moderate
2010,Ahmedabad,Gujarat,Summer,Sabarmati,Chemical,127.0,1.43,23355.33,142244.0,4183396.0,3455.0,Acceptable,Moderate
2010,Ahmedabad,Gujarat,Winter,Sabarmati,Chemical,157.69,1.24,46640.67,142244.0,4183396.0,3455.0,Good,Moderate
2010,Aizawl,Mizoram,Monsoon,Tlawng,Handicrafts,78.21,1.08,26109.75,223961.0,52251.0,3174.0,Acceptable,Satisfactory
2010,Aizawl,Mizoram,Post-Monsoon,Tlawng,Handicrafts,93.8,1.38,24970.5,223961.0,52251.0,3174.0,Acceptable,Satisfactory
2010,Aizawl,Mizoram,Summer,Tlawng,Handicrafts,78.96,1.28,32698.67,223961.0,52251.0,3174.0,Acceptable,Satisfactory
2010,Aizawl,Mizoram,Winter,Tlawng,Handicrafts,96.83,1.53,28646.33,223961.0,52251.0,3174.0,Acceptable,Moderate
2010,Amaravati,Andhra Pradesh,Monsoon,Krishna,Agro-processing,150.57,1.58,21906.25,117504.0,238596.0,2253.0,Acceptable,Moderate
2010,Amaravati,Andhra Pradesh,Post-Monsoon,Krishna,Agro-processing,172.83,0.88,13613.0,117504.0,238596.0,2253.0,Acceptable,Moderate
2010,Amaravati,Andhra Pradesh,Summer,Krishna,Agro-processing,145.99,0.75,24240.33,117504.0,238596.0,2253.0,Good,Moderate
2010,Amaravati,Andhra Pradesh,Winter,Krishna,Agro-processing,175.12,1.03,19335.0,117504.0,238596.0,2253.0,Acceptable,Moderate
2010,Amritsar,Punjab,Monsoon,Beas,Agro-Industry,129.42,1.68,29419.75,247569.0,575290.0,3158.0,Acceptable,Moderate
2010,Amritsar,Punjab,Post-Monsoon,Beas,Agro-Industry,151.59,1.41,24820.0,247569.0,575290.0,3158.0,Acceptable,Moderate
2010,Amritsar,Punjab,Summer,Beas,Agro-Industry,126.36,1.21,34585.67,247569.0,575290.0,3158.0,Acceptable,Moderate
2010,Amritsar,Punjab,Winter,Beas,Agro-Industry,153.28,1.18,11528.33,247569.0,575290.0,3158.0,Acceptable,Moderate
2010,Bengaluru,Karnataka,Monsoon,Arkavathi,Agro-Industry,88.29,0.93,28124.5,103736.0,1978388.0,12399.0,Acceptable,Satisfactory
2010,Bengaluru,Karnataka,Post-Monsoon,Arkavathi,Agro-Industry,106.0,1.19,33487.0,103736.0,1978388.0,12399.0,Acceptable,Satisfactory
2010,Bengaluru,Karnataka,Summer,Arkavathi,Agro-Industry,90.43,1.12,21886.0,103736.0,1978388.0,12399.0,Acceptable,Satisfactory
2010,Bengaluru,Karnataka,Winter,Arkavathi,Agro-Industry,110.67,0.97,30143.0,103736.0,1978388.0,12399.0,Acceptable,Moderate
2010,Bhopal,Madhya Pradesh,Monsoon,Betwa,Manufacturing,111.14,1.38,22987.5,18839.0,297512.0,11244.0,Polluted,Moderate
2010,Bhopal,Madhya Pradesh,Post-Monsoon,Betwa,Manufacturing,132.62,0.6,36081.5,18839.0,297512.0,11244.0,Good,Moderate
2010,Bhopal,Madhya Pradesh,Summer,Betwa,Manufacturing,114.57,0.97,23966.0,18839.0,297512.0,11244.0,Good,Moderate
2010,Bhopal,Madhya Pradesh,Winter,Betwa,Manufacturing,133.14,1.31,27089.67,18839.0,297512.0,11244.0,Acceptable,Moderate
2010,Brajrajnagar,Odisha,Monsoon,Ib,Coal/Power,90.21,1.27,24754.5,226737.0,50415.0,7637.0,Good,Satisfactory
2010,Brajrajnagar,Odisha,Post-Monsoon,Ib,Coal/Power,104.68,1.19,20910.0,226737.0,50415.0,7637.0,Acceptable,Satisfactory
2010,Brajrajnagar,Odisha,Summer,Ib,Coal/Power,91.41,1.11,28757.0,226737.0,50415.0,7637.0,Acceptable,Satisfactory
2010,Brajrajnagar,Odisha,Winter,Ib,Coal/Power,110.61,1.19,32154.67,226737.0,50415.0,7637.0,Good,Moderate
2010,Chandigarh,Chandigarh,Monsoon,Sukhna,Manufacturing,106.73,1.67,29419.75,247569.0,819759.0,3158.0,Acceptable,Moderate
2010,Chandigarh,Chandigarh,Post-Monsoon,Sukhna,Manufacturing,118.32,1.42,24820.0,247569.0,819759.0,3158.0,Acceptable,Moderate
2010,Chandigarh,Chandigarh,Summer,Sukhna,Manufacturing,105.83,1.19,34585.67,247569.0,819759.0,3158.0,Acceptable,Moderate
2010,Chandigarh,Chandigarh,Winter,Sukhna,Manufacturing,127.53,1.23,11528.33,247569.0,819759.0,3158.0,Acceptable,Moderate
2010,Chennai,Tamil Nadu,Monsoon,Cooum,Manufacturing,135.23,1.3,17897.0,46051.0,12724261.0,6982.0,Acceptable,Moderate
2010,Chennai,Tamil Nadu,Post-Monsoon,Cooum,Manufacturing,161.26,1.0,14788.5,46051.0,12724261.0,6982.0,Good,Moderate
2010,Chennai,Tamil Nadu,Summer,Cooum,Manufacturing,134.61,0.95,34139.0,46051.0,12724261.0,6982.0,Good,Moderate
2010,Chennai,Tamil Nadu,Winter,Cooum,Manufacturing,156.69,1.05,21774.33,46051.0,12724261.0,6982.0,Acceptable,Moderate
